"number","title","pageid","namespace","length","touched"
"1","朝","6217","","8841","20161201150406"
"2","底","7176","","4935","20161201150406"
"3","象","7183","","8971","20161201150406"
"4","中","9872","","13646","20161201150406"
"5","与","10392","","3243","20161130172435"
"6","临","10428","","436","20161130172436"
"7","为","10433","","507","20161130172436"
"8","于","10513","","2240","20161130172436"
"9","从","10591","","1082","20161130172436"
"10","以","10614","","6084","20161130172436"
"11","仾","10639","","903","20161130172436"
"12","但","10737","","1600","20161201150406"
"13","冲","11472","","827","20161130172446"
"14","到","11605","","5315","20161201150406"
"15","勿","11825","","2172","20161130172447"
"16","即","11952","","2960","20161201150406"
"17","卽","11962","","790","20161130172452"
"18","叫","12072","","3954","20161130172453"
"19","同","12105","","8107","20161201150406"
"20","向","12110","","3350","20161130172453"
"21","呌","12182","","619","20161130172453"
"22","囙","12885","","960","20161130172506"
"23","因","12891","","3015","20161201150406"
"24","在","12962","","4054","20161130172506"
"25","对","14248","","602","20161130172517"
"26","對","14285","","5465","20161201150411"
"27","就","14321","","4396","20161130172517"
"28","往","15256","","2927","20161201101554"
"29","徃","15259","","590","20161130172532"
"30","從","15286","","6076","20161130172532"
"31","惟","15604","","1349","20161130172537"
"32","扵","16017","","423","20161130172544"
"33","抂","16030","","1283","20161130172544"
"34","拿","16155","","1296","20161130172545"
"35","於","16869","","2803","20161130172552"
"36","既","16907","","2065","20161130172552"
"37","旣","16908","","684","20161130172552"
"38","暌","17130","","1058","20161130172553"
"39","曌","17169","","962","20161130172553"
"40","曏","17172","","1174","20161130172553"
"41","替","17219","","2514","20161130172555"
"42","横","18068","","988","20161130172604"
"43","橫","18134","","3534","20161130172606"
"44","比","18502","","11436","20161201150413"
"45","汔","18627","","1000","20161130172614"
"46","沿","18740","","1804","20161130172619"
"47","為","19882","","11183","20161201150413"
"48","照","20084","","4494","20161201150413"
"49","爲","20288","","1260","20161130172633"
"50","用","21098","","8342","20161201150413"
"51","由","21107","","3096","20161130172636"
"52","畀","21122","","1498","20161201132622"
"53","皍","21467","","534","20161130172641"
"54","相","21577","","12247","20161201150413"
"55","瞾","21803","","845","20161130172642"
"56","管","22831","","6965","20161201150415"
"57","給","23321","","3159","20161130172650"
"58","緣","23465","","3071","20161201150415"
"59","縁","23494","","1086","20161130172650"
"60","给","23757","","457","20161130172651"
"61","缘","23833","","404","20161130172651"
"62","臨","24592","","3349","20161201150415"
"63","自","24594","","4527","20161201150415"
"64","與","24627","","4124","20161201150418"
"65","衝","26434","","2937","20161130172708"
"66","被","26512","","6038","20161201150418"
"67","裏","26553","","1421","20161130172708"
"68","裡","26572","","1498","20161130172708"
"69","見","26755","","8637","20161130172709"
"70","见","26809","","470","20161130172709"
"71","論","27089","","6603","20161201150418"
"72","諸","27123","","2451","20161201150418"
"73","讓","27297","","2099","20161201150418"
"74","让","27319","","636","20161130172718"
"75","论","27336","","407","20161130172718"
"76","诸","27399","","322","20161130172718"
"77","走","27843","","6118","20161130172719"
"78","赱","27844","","591","20161130172719"
"79","赶","27849","","491","20161130172719"
"80","趕","27880","","2466","20161130172719"
"81","蹛","28083","","1050","20161130172721"
"82","里","29208","","5781","20161130172729"
"83","除","30663","","3052","20161130172734"
"84","包括","207548","","682","20161130172805"
"85","由于","261952","","187","20161130172826"
"86","由於","261953","","466","20161130172826"
"87","直到","294603","","311","20161130172841"
"88","除了……以外","456659","","1297","20161130172914"
"89","从……到……","456794","","96","20161130172914"
"90","從……到……","456795","","748","20161130172914"
"91","从……起","456932","","78","20161130172914"
"92","從……起","456933","","562","20161130172914"
"93","通过","549411","","173","20161130172944"
"94","通過","549413","","1429","20161130172944"
"95","為了","766745","","1095","20161130173035"
"96","为了","766746","","180","20161130173035"
"97","為著","778759","","294","20161130173040"
"98","为着","778760","","103","20161130173040"
"99","只在","785007","","188","20161130173041"
"100","直至","975384","","233","20161130173136"
"101","对于","2119700","","145","20161130173541"
"102","對於","2119703","","327","20161130173541"
"103","关于","2119711","","173","20161130173541"
"104","關於","2119714","","351","20161130173541"
"105","随着","2419832","","116","20161130173615"
"106","隨著","2419834","","443","20161130173615"
"107","跟前","2436171","","301","20161130173616"
"108","自從","2771379","","403","20161130173645"
"109","自从","2771380","","131","20161130173645"
"110","難說","2771381","","218","20161130173645"
"111","难说","2771382","","74","20161130173645"
"112","除去","2839177","","719","20161201150424"
"113","除了","3175708","","524","20161130173741"
"114","㠯","3490253","","457","20161130173824"
"115","依照","3540865","","563","20161130173834"
"116","如同","3595749","","270","20161130173844"
"117","𫝌","3853805","","395","20161130173923"
"118","㙀","3937620","","454","20161130173936"
"119","㙄","3937635","","463","20161130173936"
"120","㝮","3969175","","413","20161130173944"
"121","本著","4036408","","1049","20161130173947"
"122","凭借","4091367","","81","20161130173954"
"123","憑借","4091368","","332","20161130173954"
"124","透过","4143103","","74","20161130174014"
"125","透過","4143104","","805","20161130174014"
"126","自打","4256416","","278","20161130174038"
"127","經由","4284932","","536","20161130174054"
"128","经由","4284933","","60","20161130174054"
"129","比照","4297884","","185","20161130174106"
"130","用來","4300251","","603","20161130174109"
"131","用来","4300252","","45","20161130174109"
"132","借着","4360684","","45","20161130174142"
"133","藉著","4360686","","224","20161130174142"
"134","到……为止","4360772","","63","20161130174142"
"135","到……為止","4360773","","230","20161130174142"
"136","身为","4361489","","45","20161130174142"
"137","身為","4361491","","378","20161130174142"
"138","鉴于","4364513","","95","20161201062839"
"139","鑒於","4364514","","238","20161130174146"
"140","本着","4482557","","88","20161130174248"
"141","沿著","4558438","","211","20161130174324"
"142","沿着","4558439","","45","20161130174324"
"143","從中","4594175","","299","20161130174420"
"144","从中","4594176","","102","20161130174420"
"145","鑑於","4699976","","47","20161130174552"
"146","爲了","5005189","","69","20161130174818"
"147","憑藉","5026406","","54","20161130174827"
